图片链接,标题,序号,内容,时间,详情链接
https://p3.img.cctvpic.com/photoworkspace/2023/11/15/2023111509241315283.jpg,“非教学任务”五花八门 教师们如何才能安静地教书？,45,作为一名高三班主任，张荃面临的问题是，她要处理的文件越来越多。,2023/11/15 9:24,https://news.cctv.com/2023/11/15/ARTIZh7blikpMkxbNlZXMbZx231115.shtml
https://p2.img.cctvpic.com/photoworkspace/2023/11/15/2023111511011514694.jpg,一江清水向北送 “一城青山半城湖” 古老大运河焕发新生机,500,记者从水利部了解到，11月15日，南水北调东线一期工程正式通水10周年，受水区直接受益人口超6800万。,2023/11/15 11:03,https://news.cctv.com/2023/11/15/ARTIdxs5I0wUMnkQJUXRmLwe231115.shtml
https://p4.img.cctvpic.com/photoworkspace/2023/11/15/2023111510470641688.jpg,忙!忙!忙!多个领域工程项目建设实施 培育强大发展后劲,503,11月14日，重庆至昆明高速铁路云南段建设取得重大进展。位于昆明市嵩明县境内的阿里塘特大桥和八家村特大桥连续梁同步完成转体作业。,2023/11/15 10:49,https://news.cctv.com/2023/11/15/ARTICWxNfKIjFIhECO9kC7uU231115.shtml
https://p3.img.cctvpic.com/photoworkspace/2023/11/15/2023111510355385176.jpg,LNG船产业链基础夯实 配套制造企业创造产值超数百亿,504,LNG船全称液化天然气运输船，由于制造难度极大，被冠以“世界造船工业皇冠上的明珠”。10月，位于上海的中国船舶沪东中华造船厂，同时在建14艘LNG船，有望创造全年交付6艘的中国造船新纪录。这个新纪录是如何实现的？,2023/11/15 10:39,https://news.cctv.com/2023/11/15/ARTIavRjisO20ORjdGE2mjtw231115.shtml
https://p3.img.cctvpic.com/photoworkspace/2023/11/15/2023111510095241592.jpg,陕西延安：黄河壶口瀑布初冬美景,511,2023年11月14日，初冬时节，陕西延安，游人在黄河壶口瀑布陕西侧游览观瀑。,2023/11/15 10:16,https://photo.cctv.com/2023/11/15/PHOAj71RNx9EHIrPt9CdygAm231115.shtml
https://p3.img.cctvpic.com/photoworkspace/2023/11/15/2023111509562349639.jpg,江苏盐城：火红蒿子草扮靓初冬条子泥湿地,523,2023年11月13日，初冬时节，江苏盐城，东台条子泥湿地，成片的蒿子草造就的“红海滩”，与迁徙的候鸟、栖息的麋鹿以及潮汐形成的地貌，勾勒出一幅幅湿地的自然生态美图。,2023/11/15 10:01,https://photo.cctv.com/2023/11/15/PHOAcAr0QHwe5owhsy9kcwnO231115.shtml
https://p4.img.cctvpic.com/photoworkspace/2023/11/15/2023111509493258244.jpg,冬日农忙,528,初冬时节，各地农民抢抓农时开展农事活动。,2023/11/15 9:55,https://photo.cctv.com/2023/11/15/PHOAeqwZB763EcXrQvsPJex9231115.shtml
https://p5.img.cctvpic.com/photoworkspace/2023/11/15/2023111509450827889.jpg,新疆巴州：天鹅博斯腾湖上飞翔嬉戏,530,2023年11月14日，新疆巴州，天鹅在博斯腾湖上飞翔、嬉戏。,2023/11/15 9:48,https://photo.cctv.com/2023/11/15/PHOAwQ4DdkAg03U7Hyw6w7ag231115.shtml
https://p1.img.cctvpic.com/photoworkspace/2023/11/15/2023111509395846023.jpg,甘肃舟曲：藏乡柿子助农增收,533,近日，甘肃省甘南藏族自治州舟曲县的村民忙着采收、晾晒柿子，加工制作酒柿子和柿饼供应市场。,2023/11/15 9:42,https://photo.cctv.com/2023/11/15/PHOArp2yyGrWEVVW1xavuAko231115.shtml
https://p3.img.cctvpic.com/photoworkspace/2023/11/15/2023111509344978529.jpg,重庆永川首趟直发中欧班列发车,534,11月14日，重庆市永川区首趟中欧班列JSQ商品车专列顺利从永川栏杆滩站发车，直发欧洲。,2023/11/15 9:37,https://photo.cctv.com/2023/11/15/PHOA5UrRvM6ZzWuMrkfFCEl0231115.shtml
https://p5.img.cctvpic.com/photoworkspace/2023/11/15/2023111509301067162.jpg,雅鲁藏布大峡谷深处的工布新年,535,11月14日是藏历的十月初一，也是西藏林芝市的工布新年。林芝市米林市派镇索松村位于雅鲁藏布大峡谷中的南迦巴瓦峰脚下，40岁的次仁顿珠和38岁的拉巴卓玛一家住在这里。,2023/11/15 9:33,https://photo.cctv.com/2023/11/15/PHOAx8aPUoSutUrZrAu0p5EH231115.shtml
https://p1.img.cctvpic.com/photoworkspace/2023/11/15/2023111508014030482.jpg,【8点见】出征！国足开启第13次冲击世界杯之旅,538,中国国家男子足球队14日下午飞往泰国曼谷，开启第13次冲击世界杯之旅。,2023/11/15 8:00,https://news.cctv.com/2023/11/15/ARTIIBZMUiXvSDiiafdDFuPb231114.shtml
https://p4.img.cctvpic.com/photoworkspace/2023/11/15/2023111506435485712.jpg,人口老龄化加剧 养老难题何解,542,日前，中青报·中青网记者采访对话专家学者、行业人士，探讨人口老龄化社会养老难题的破解之道。,2023/11/15 6:44,https://news.cctv.com/2023/11/15/ARTIAXLSOd9rmDaWCSQhv6ZV231115.shtml
https://p2.img.cctvpic.com/photoworkspace/2023/11/15/2023111509202977134.jpg,中央气象台继续发布大风蓝色预警,545,预计，11月15日08时至16日08时，台湾海峡、巴士海峡、南海北部和中部海域将有7~8级、阵风9级的大风；新疆北部、内蒙古大部、甘肃、青海、山西、陕西北部、海南岛等地部分地区将有5~7级、阵风8~9级的大风。,2023/11/15 6:27,https://news.cctv.com/2023/11/15/ARTIel4n0b3zYybUlIf7b7N8231115.shtml
https://p3.img.cctvpic.com/photoworkspace/2023/11/15/2023111504061551514.jpg,广州公积金“认房不认贷” 最低首付两成，影响几何？,547,继上海和北京之后，一线城市广州也落实了公积金“认房不认贷”政策。另外，相比北京上海，广州的政策更进一步，首套住房申请公积金贷款，最低首付比例由原来的30%降至了20%。,2023/11/15 4:06,https://news.cctv.com/2023/11/15/ARTIxK6n2Hj5lGDDhO8d9Ii2231115.shtml
https://p2.img.cctvpic.com/photoworkspace/2023/11/15/2023111501143272640.jpg,教科文组织一中心落户上海 科技人力资源酝酿“聚变”,549,作为拥有全球最多科技人力资源的国家，中国迎来教科文组织的一类中心。,2023/11/15 1:15,https://news.cctv.com/2023/11/15/ARTIyb757uEuK3Nl2MsRg8Sp231115.shtml
https://p4.img.cctvpic.com/photoworkspace/2023/11/15/2023111500231630452.jpg,第三季度，婴幼儿配方乳粉全国监督抽检合格率99.85%,550,11月14日是新版《婴幼儿配方乳粉生产许可审查细则》实施一周年。,2023/11/15 0:23,https://news.cctv.com/2023/11/15/ARTIbhxeT7z6f3wsN1iF6rAW231115.shtml
https://p1.img.cctvpic.com/photoworkspace/2023/11/14/2023111423325938663.jpg,广州住房公积金“认房不认贷” 首套房最低首付比20%,551,11月14日，广州住房公积金管理中心发布《广州住房公积金管理中心关于优化个人住房公积金贷款有关事项的通知》，优化个人住房公积金贷款。,2023/11/14 23:33,https://news.cctv.com/2023/11/14/ARTI6c9wTp7nZjRJqjWVORXW231114.shtml
