图片链接,,谣言内容,谣言来源,发布时间
https://www.piyao.org.cn/20231204/f2c57303de164f99a2270fd9a21086f8/f10a963aa62d4f4c88e1b26278c58751.png,0,近期青岛、济南、牡丹江等地发生车辆坠桥和落物“砸死人”事件,中国互联网联合辟谣平台,2023/12/4 14:53
https://www.piyao.org.cn/20231204/5a9ac86c62e04f41b75a732fe402db0d/99b99c9f916246e5a53789504d27306d.jpg,1,重庆预制板房2024年将迎来大拆迁,中国互联网联合辟谣平台,2023/12/4 14:54
https://www.piyao.org.cn/20231204/740653aed6224d1b90c81bc77ab07b8c/f51c4bd89edf4ff58e5a9d8ea61719ae.png,2,苏打水能调节身体酸碱平衡,中国互联网联合辟谣平台,2023/12/4 14:54
https://www.piyao.org.cn/20231204/fab991352ed943f5ba4e44ac3bd74d3e/37e0c68665744f86bd8903029d012528.png,3,投靠朋友可获上海户口,中国互联网联合辟谣平台,2023/12/4 14:53
https://www.piyao.org.cn/20231127/4602399d0ddc4613835bfc618712ce2e/c1e296ce56af4ee79801eed105e7a2c9.jpg,4,2023年广东移动下架4G套餐,中国互联网联合辟谣平台,2023/11/27 9:56
https://www.piyao.org.cn/20231127/b0739146606045a283fb9ac12f8e9195/2b1395b7a9c54c829b09a49687500097.png,5,近期广西多地出现大量飞鸟盘旋天空是地震前兆,中国互联网联合辟谣平台,2023/11/27 9:56
https://www.piyao.org.cn/20231127/720a12df2da94f78b9f420ba4f2e1193/fd76e147b3104ec39fd07fea3e1384fa.jpg,6,反季蔬菜没营养还不安全,中国互联网联合辟谣平台,2023/11/27 9:56
https://www.piyao.org.cn/20231127/b64090010c714561bcce906a58183201/8d35e40f4abc4410997e4872ba64e3f0.jpg,7,上海外卖小哥为28万彩礼加班活活累死,中国互联网联合辟谣平台,2023/11/27 9:56
https://www.piyao.org.cn/20231120/502c118b501d4f6bbd17847eb5c5c44c/8c4ef4140b434ab28c2b7e6c050d1fad.jpg,8,多地可低价代缴采暖费,中国互联网联合辟谣平台,2023/11/20 15:43
https://www.piyao.org.cn/20231120/8cbf073bbeef4dba8ad1f87813e9d1c3/99d7ebf4216a491282f031092358b89e.png,9,近期四川广元南站将搬迁,中国互联网联合辟谣平台,2023/11/20 15:43
